ServiceID,RegionID
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
2,2
2,6
2,7
2,8
2,9
2,10
2,13
3,1
3,2
3,3
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,16
3,17
4,3
4,8
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
8,2
8,6
8,7
8,8
8,9
8,10
8,13
9,1
9,2
9,3
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,16
9,17
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
11,14
11,15
11,16
11,17
12,1
12,2
12,3
12,6
12,7
12,8
12,9
12,10
12,11
12,12
12,13
12,14
12,15
12,16
12,17
13,1
13,2
13,3
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,16
13,17
14,1
14,2
14,3
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,14
14,15
14,16
14,17
15,1
15,2
15,3
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
16,1
16,2
16,3
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
17,1
17,2
17,3
17,6
17,7
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
18,1
18,2
18,3
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
19,2
19,8
19,9
19,11
19,14
20,1
20,2
20,3
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
21,1
21,2
21,3
21,4
21,5
21,6
21,7
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
22,1
22,10
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
24,1
24,2
24,3
24,6
24,7
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
25,1
25,2
25,3
25,6
25,7
25,8
25,9
25,10
25,11
25,12
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,17
27,1
27,2
27,3
27,6
27,7
27,8
27,9
27,10
27,11
27,12
28,3
28,8
28,10
28,12
28,14
28,16
29,0
30,1
30,2
30,3
30,6
30,7
30,8
30,9
30,10
30,11
30,12
30,13
30,14
30,15
30,16
30,17
31,2
31,4
31,5
31,8
31,9
31,10
31,11
31,12
31,13
31,14
31,15
31,16
31,17
32,2
32,8
32,9
32,10
32,11
32,12
33,2
33,6
33,7
33,8
33,9
33,10
33,11
33,12
33,14
33,15
33,16
34,0
35,1
35,2
35,3
35,6
35,7
35,8
35,9
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,17
36,7
37,1
37,2
37,3
37,4
37,5
37,6
37,7
37,8
37,9
37,10
37,11
37,12
37,13
37,14
37,15
37,16
37,17
38,8
39,1
39,2
39,3
39,6
39,7
39,8
39,9
39,10
39,11
39,12
39,13
39,14
39,16
39,17
40,2
40,8
40,10
40,16
41,1
41,2
41,3
41,4
41,5
41,6
41,7
41,8
41,9
41,10
41,11
41,12
41,13
41,14
41,15
41,16
41,17
42,0
43,1
43,2
43,3
43,4
43,5
43,6
43,7
43,8
43,9
43,10
43,11
43,12
43,13
43,15
43,16
43,17
44,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
45,14
45,15
45,16
45,17
46,1
46,2
46,3
46,4
46,5
46,6
46,7
46,8
46,9
46,10
46,11
46,12
46,13
46,14
46,15
46,16
46,17
47,1
47,2
47,3
47,4
47,5
47,6
47,7
47,8
47,9
47,10
47,11
47,12
47,13
47,14
47,15
47,16
47,17
48,2
48,4
48,5
48,8
48,9
48,10
48,11
48,12
48,13
48,14
48,16
48,17
49,2
49,4
49,5
49,6
49,7
49,8
49,9
49,10
49,11
49,12
49,13
49,14
50,2
50,4
50,5
50,6
50,7
50,8
50,9
50,10
50,11
50,12
50,13
50,14
51,0
52,0
53,1
53,2
53,3
53,4
53,5
53,6
53,7
53,8
53,9
53,10
53,11
53,12
53,13
53,14
53,15
53,16
53,17
54,1
54,2
54,3
54,6
54,7
54,8
54,9
54,10
54,11
54,12
54,13
54,14
54,15
54,16
54,17
55,2
55,8
55,9
55,10
55,11
55,12
55,13
55,14
55,15
55,16
55,17
56,0
57,0
58,6
58,7
58,10
58,16
59,3
59,7
59,8
59,10
59,16
60,3
60,10
60,16
61,0
62,1
62,2
62,3
62,4
62,5
62,6
62,7
62,8
62,9
62,10
62,11
62,12
62,13
62,14
62,15
62,16
62,17
63,3
63,7
63,10
63,12
63,13
64,2
64,10
65,1
65,2
65,3
65,6
65,7
65,8
65,9
65,10
65,11
65,12
65,13
65,14
65,15
